x,y,z
-9.019638824462890625e+01,-2.431241798400878906e+01,9.931486511230468750e+01
-9.044171142578125000e+01,-2.417665100097656250e+01,9.963247680664062500e+01
-9.068415832519531250e+01,-2.403135108947753906e+01,9.994913482666015625e+01
-9.092335510253906250e+01,-2.387677574157714844e+01,1.002648849487304688e+02
-9.115893554687500000e+01,-2.371317481994628906e+01,1.005797576904296875e+02
-9.139053344726562500e+01,-2.354080581665039062e+01,1.008937835693359375e+02
-9.161779022216796875e+01,-2.335992431640625000e+01,1.012070159912109375e+02
-9.184032440185546875e+01,-2.317078208923339844e+01,1.015194854736328125e+02
-9.205778503417968750e+01,-2.297363281250000000e+01,1.018312377929687500e+02
-9.226979064941406250e+01,-2.276873397827148438e+01,1.021423034667968750e+02
-9.247599029541015625e+01,-2.255633926391601562e+01,1.024527282714843750e+02
-9.267600250244140625e+01,-2.233670043945312500e+01,1.027625427246093750e+02
-9.286947631835937500e+01,-2.211007499694824219e+01,1.030717849731445312e+02
-9.305603027343750000e+01,-2.187671661376953125e+01,1.033805084228515625e+02
-9.323531341552734375e+01,-2.163687896728515625e+01,1.036887359619140625e+02
-9.340694427490234375e+01,-2.139081764221191406e+01,1.039965133666992188e+02
-9.357061004638671875e+01,-2.113882255554199219e+01,1.043038787841796875e+02
-9.372605895996093750e+01,-2.088129234313964844e+01,1.046108856201171875e+02
-9.387309265136718750e+01,-2.061864089965820312e+01,1.049175643920898438e+02
-9.401149749755859375e+01,-2.035127830505371094e+01,1.052239608764648438e+02
-9.414105987548828125e+01,-2.007962036132812500e+01,1.055301361083984375e+02
-9.426155090332031250e+01,-1.980407905578613281e+01,1.058361206054687500e+02
-9.437277984619140625e+01,-1.952506828308105469e+01,1.061419601440429688e+02
-9.447451782226562500e+01,-1.924300193786621094e+01,1.064477005004882812e+02
-9.456655120849609375e+01,-1.895829200744628906e+01,1.067533950805664062e+02
-9.464867401123046875e+01,-1.867135429382324219e+01,1.070590820312500000e+02
-9.472067260742187500e+01,-1.838259887695312500e+01,1.073648071289062500e+02
-9.478232574462890625e+01,-1.809243965148925781e+01,1.076706161499023438e+02
-9.483341979980468750e+01,-1.780129051208496094e+01,1.079765548706054688e+02
-9.487374877929687500e+01,-1.750956726074218750e+01,1.082826614379882812e+02
-9.490309906005859375e+01,-1.721767807006835938e+01,1.085889968872070312e+02
-9.492124938964843750e+01,-1.692604064941406250e+01,1.088955841064453125e+02
-9.492799377441406250e+01,-1.663506698608398438e+01,1.092024841308593750e+02
-9.492311096191406250e+01,-1.634516906738281250e+01,1.095097427368164062e+02
-9.490641021728515625e+01,-1.605675697326660156e+01,1.098173980712890625e+02
-9.487817382812500000e+01,-1.577015209197998047e+01,1.101255874633789062e+02
-9.483909606933593750e+01,-1.548559665679931641e+01,1.104345092773437500e+02
-9.478990173339843750e+01,-1.520332717895507812e+01,1.107443847656250000e+02
-9.473131561279296875e+01,-1.492358207702636719e+01,1.110554122924804688e+02
-9.466405487060546875e+01,-1.464659881591796875e+01,1.113678054809570312e+02
-9.458883666992187500e+01,-1.437261390686035156e+01,1.116817703247070312e+02
-9.450638580322265625e+01,-1.410186576843261719e+01,1.119975128173828125e+02
-9.441743469238281250e+01,-1.383459186553955078e+01,1.123152465820312500e+02
-9.432268524169921875e+01,-1.357102966308593750e+01,1.126351776123046875e+02
-9.422286987304687500e+01,-1.331141662597656250e+01,1.129575119018554688e+02
-9.411871337890625000e+01,-1.305599117279052734e+01,1.132824630737304688e+02
-9.401092529296875000e+01,-1.280498981475830078e+01,1.136102447509765625e+02
-9.390023803710937500e+01,-1.255865192413330078e+01,1.139410476684570312e+02
-9.378736877441406250e+01,-1.231721305847167969e+01,1.142751007080078125e+02
-9.367304229736328125e+01,-1.208091163635253906e+01,1.146125946044921875e+02
-9.355797576904296875e+01,-1.184998512268066406e+01,1.149537506103515625e+02
-9.344288635253906250e+01,-1.162467098236083984e+01,1.152987747192382812e+02
-9.332849884033203125e+01,-1.140520763397216797e+01,1.156478729248046875e+02
-9.321549224853515625e+01,-1.119178771972656250e+01,1.160011978149414062e+02
-9.310430908203125000e+01,-1.098441123962402344e+01,1.163586730957031250e+02
-9.299536132812500000e+01,-1.078303146362304688e+01,1.167201538085937500e+02
-9.288903808593750000e+01,-1.058760070800781250e+01,1.170854949951171875e+02
-9.278574371337890625e+01,-1.039807128906250000e+01,1.174545669555664062e+02
-9.268588256835937500e+01,-1.021439361572265625e+01,1.178272247314453125e+02
-9.258984375000000000e+01,-1.003652095794677734e+01,1.182033233642578125e+02
-9.249803161621093750e+01,-9.864405632019042969e+00,1.185827331542968750e+02
-9.241085052490234375e+01,-9.697998046875000000e+00,1.189652938842773438e+02
-9.232868957519531250e+01,-9.537252426147460938e+00,1.193508758544921875e+02
-9.225195312500000000e+01,-9.382118225097656250e+00,1.197393417358398438e+02
-9.218104553222656250e+01,-9.232549667358398438e+00,1.201305465698242188e+02
-9.211635589599609375e+01,-9.088497161865234375e+00,1.205243453979492188e+02
-9.205829620361328125e+01,-8.949913978576660156e+00,1.209206008911132812e+02
-9.200725555419921875e+01,-8.816751480102539062e+00,1.213191680908203125e+02
-9.196363830566406250e+01,-8.688961982727050781e+00,1.217199172973632812e+02
-9.192784881591796875e+01,-8.566496849060058594e+00,1.221226959228515625e+02
-9.190027618408203125e+01,-8.449308395385742188e+00,1.225273666381835938e+02
-9.188129425048828125e+01,-8.337337493896484375e+00,1.229337921142578125e+02
-9.187087249755859375e+01,-8.230378150939941406e+00,1.233418121337890625e+02
-9.186870574951171875e+01,-8.128120422363281250e+00,1.237512817382812500e+02
-9.187447357177734375e+01,-8.030256271362304688e+00,1.241620407104492188e+02
-9.188788604736328125e+01,-7.936475276947021484e+00,1.245739288330078125e+02
-9.190860748291015625e+01,-7.846467494964599609e+00,1.249867935180664062e+02
-9.193634796142578125e+01,-7.759922981262207031e+00,1.254004745483398438e+02
-9.197078704833984375e+01,-7.676532268524169922e+00,1.258148193359375000e+02
-9.201161193847656250e+01,-7.595985412597656250e+00,1.262296752929687500e+02
-9.205851745605468750e+01,-7.517972469329833984e+00,1.266448822021484375e+02
-9.211118316650390625e+01,-7.442183971405029297e+00,1.270602798461914062e+02
-9.216931152343750000e+01,-7.368309020996093750e+00,1.274757156372070312e+02
-9.223258209228515625e+01,-7.296038627624511719e+00,1.278910369873046875e+02
-9.230068969726562500e+01,-7.225062847137451172e+00,1.283060760498046875e+02
-9.237332153320312500e+01,-7.155071735382080078e+00,1.287207031250000000e+02
-9.245016479492187500e+01,-7.085755825042724609e+00,1.291347198486328125e+02
-9.253090667724609375e+01,-7.016804218292236328e+00,1.295480194091796875e+02
-9.261524200439453125e+01,-6.947907924652099609e+00,1.299604034423828125e+02
-9.270285797119140625e+01,-6.878756999969482422e+00,1.303717346191406250e+02
-9.279346466064453125e+01,-6.809057712554931641e+00,1.307818756103515625e+02
-9.288685607910156250e+01,-6.738587379455566406e+00,1.311908264160156250e+02
-9.298284149169921875e+01,-6.667141437530517578e+00,1.315986022949218750e+02
-9.308125305175781250e+01,-6.594516277313232422e+00,1.320052185058593750e+02
-9.318190002441406250e+01,-6.520508766174316406e+00,1.324106903076171875e+02
-9.328459930419921875e+01,-6.444914340972900391e+00,1.328150329589843750e+02
-9.338917541503906250e+01,-6.367529392242431641e+00,1.332182922363281250e+02
-9.349543762207031250e+01,-6.288149833679199219e+00,1.336204528808593750e+02
-9.360321044921875000e+01,-6.206572055816650391e+00,1.340215606689453125e+02
-9.371231079101562500e+01,-6.122592926025390625e+00,1.344216308593750000e+02
-9.382255554199218750e+01,-6.036007404327392578e+00,1.348206634521484375e+02
